fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,cases,deaths,metrics.deathrate,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,fully_vaccinated,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
6001,US,CA,Alameda County,county,,iso1:us#iso2:us-ca#fips:06001,,1671329,0.019,other,10.8,,0.8,0.11,,,0.68,2,0,2,4,0,,0,116821,1333,0.01141062,,,,2653,1588,148,,258,174,54,,152,,1246357,1163001,2021/9/27,https://covidactnow.org/us/california-ca/county/alameda_county,0.746,0.696,2,2326794,2
6003,US,CA,Alpine County,county,,iso1:us#iso2:us-ca#fips:06003,,1129,,other,12.7,,,,,,,2,4,2,4,4,,4,101,0,0,,,,,,,,,,,,0,,799,701,2021/9/27,https://covidactnow.org/us/california-ca/county/alpine_county,0.708,0.621,0,1535,2
6005,US,CA,Amador County,county,,iso1:us#iso2:us-ca#fips:06005,,39752,,other,32.7,,0.86,0.4,,,0.98,3,4,3,4,0,,3,4987,59,0.01183076,,,,53,35,11,,6,6,5,,0,,21226,18074,2021/9/27,https://covidactnow.org/us/california-ca/county/amador_county,0.534,0.455,0,38889,3
6007,US,CA,Butte County,county,,iso1:us#iso2:us-ca#fips:06007,,219186,0.104,other,51.3,,0.94,0.13,,,0.87,3,2,3,4,1,,3,21781,236,0.010835132,,,,453,402,118,,40,35,20,,59,,110376,98531,2021/9/27,https://covidactnow.org/us/california-ca/county/butte_county,0.504,0.45,0,203332,3
6009,US,CA,Calaveras County,county,,iso1:us#iso2:us-ca#fips:06009,,45905,,other,36.7,,0.92,0.35,,,0.46,3,4,3,4,1,,0,3511,70,0.01993734,,,,42,15,2,,8,3,1,,0,,23769,21101,2021/9/27,https://covidactnow.org/us/california-ca/county/calaveras_county,0.518,0.46,0,44566,3
6011,US,CA,Colusa County,county,,iso1:us#iso2:us-ca#fips:06011,,21547,,other,21.2,,0.71,0.56,,,,2,4,2,4,0,,4,2939,18,0.006124532,,,,30,20,4,,0,,0,,0,,12260,10816,2021/9/27,https://covidactnow.org/us/california-ca/county/colusa_county,0.569,0.502,0,22231,3
6013,US,CA,Contra Costa County,county,,iso1:us#iso2:us-ca#fips:06013,,1153526,0.03,other,14.6,,0.81,0.12,,,0.83,2,0,2,4,0,,2,96331,924,0.009591928,,,,1174,1007,122,,165,137,46,,128,,866514,813703,2021/9/27,https://covidactnow.org/us/california-ca/county/contra_costa_county,0.751,0.705,0,1651457,3
6015,US,CA,Del Norte County,county,,iso1:us#iso2:us-ca#fips:06015,,27812,,other,64.7,,0.75,0.33,,,0.96,3,4,3,4,0,,3,3539,36,0.010172365,,,,47,28,12,,6,6,5,,0,,12596,10854,2021/9/27,https://covidactnow.org/us/california-ca/county/del_norte_county,0.453,0.39,0,22632,3
6017,US,CA,El Dorado County,county,,iso1:us#iso2:us-ca#fips:06017,,192843,0.057,other,17,,0.78,0.21,,,0.77,2,1,2,4,0,,1,16194,130,0.008027665,,,,106,92,17,,15,12,5,,0,,113134,102307,2021/9/27,https://covidactnow.org/us/california-ca/county/el_dorado_county,0.587,0.531,0,210041,3
6019,US,CA,Fresno County,county,,iso1:us#iso2:us-ca#fips:06019,,999101,0.089,other,38,,0.91,0.1,,,0.96,3,1,3,4,1,,3,137387,1927,0.014026072,,,,1731,1578,358,,199,190,79,,293,,560328,489038,2021/9/27,https://covidactnow.org/us/california-ca/county/fresno_county,0.561,0.489,0,1026519,3
