fips,country,state,county,level,locationId,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,cases,deaths,metrics.deathrate,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,fully_vaccinated,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
32510,US,NV,Carson City,county,iso1:us#iso2:us-nv#fips:32510,55916,0.102,other,43.9,0.82,0.28,0.9,3,2,3,4,0,,3,8214,142,0.017287558,,,,188,150,38,,22,20,8,,0,,34908,31355,2021/9/27,https://covidactnow.org/us/nevada-nv/county/carson_city,0.624,0.561,0,64544,3
36001,US,NY,Albany County,county,iso1:us#iso2:us-ny#fips:36001,305506,0.05,other,25.2,1.05,0.17,0.77,3,1,3,4,1,,1,28778,370,0.012857044,,,,1155,1025,76,,131,100,15,,70,,211505,199346,2021/9/27,https://covidactnow.org/us/new_york-ny/county/albany_county,0.692,0.653,1,,3
36003,US,NY,Allegany County,county,iso1:us#iso2:us-ny#fips:36003,46091,0.086,other,34.1,1.02,0.4,0.76,3,1,3,4,1,,1,4091,93,0.022732828,,,,56,31,9,,6,4,1,,14,,18288,17048,2021/9/27,https://covidactnow.org/us/new_york-ny/county/allegany_county,0.397,0.37,0,,3
36005,US,NY,Bronx County,county,iso1:us#iso2:us-ny#fips:36005,1418207,0.024,other,16.3,0.94,0.1,0.83,2,0,2,4,1,,2,195022,6686,0.034283312,,,,3600,2750,96,,333,277,31,,221,,923319,787267,2021/9/27,,0.651,0.555,5,,3
36007,US,NY,Broome County,county,iso1:us#iso2:us-ny#fips:36007,190488,0.096,other,48.2,1.09,0.16,0.59,3,1,3,4,1,,0,22200,387,0.017432432,,,,679,414,52,,66,39,9,,98,,113162,106764,2021/9/27,https://covidactnow.org/us/new_york-ny/county/broome_county,0.594,0.56,1,,3
36009,US,NY,Cattaraugus County,county,iso1:us#iso2:us-ny#fips:36009,76117,0.089,other,32.7,0.97,0.29,0.49,3,1,3,4,1,,0,6849,99,0.014454665,,,,217,135,20,,14,6,3,,16,,39695,36352,2021/9/27,https://covidactnow.org/us/new_york-ny/county/cattaraugus_county,0.521,0.478,0,,3
36011,US,NY,Cayuga County,county,iso1:us#iso2:us-ny#fips:36011,76576,0.07,other,38.4,0.95,0.25,0.35,3,1,3,4,1,,0,8034,104,0.012944984,,,,124,85,15,,19,6,2,,21,,42319,39834,2021/9/27,https://covidactnow.org/us/new_york-ny/county/cayuga_county,0.553,0.52,3,,3
36013,US,NY,Chautauqua County,county,iso1:us#iso2:us-ny#fips:36013,126903,0.113,other,49.4,1.1,0.18,0.56,3,2,3,4,1,,0,11235,158,0.014063195,,,,154,147,34,,21,11,5,,45,,70274,64011,2021/9/27,https://covidactnow.org/us/new_york-ny/county/chautauqua_county,0.554,0.504,0,,3
36015,US,NY,Chemung County,county,iso1:us#iso2:us-ny#fips:36015,83456,0.081,other,68.1,1.24,0.21,0.74,3,1,3,4,2,,1,9354,146,0.015608296,,,,174,122,31,,20,14,9,,77,,46012,42588,2021/9/27,https://covidactnow.org/us/new_york-ny/county/chemung_county,0.551,0.51,0,,3
36017,US,NY,Chenango County,county,iso1:us#iso2:us-ny#fips:36017,47207,0.072,other,33.6,1.01,0.42,0.62,3,1,3,4,1,,0,4259,86,0.020192533,,,,24,8,1,,3,1,1,,14,,26934,25244,2021/9/27,https://covidactnow.org/us/new_york-ny/county/chenango_county,0.571,0.535,0,,3
36019,US,NY,Clinton County,county,iso1:us#iso2:us-ny#fips:36019,80485,0.067,other,49.9,1.24,0.25,0.97,3,1,3,4,2,,3,5866,34,0.005796113,,,,161,152,19,,11,11,4,,36,,54050,51343,2021/9/27,https://covidactnow.org/us/new_york-ny/county/clinton_county,0.672,0.638,0,,3
36021,US,NY,Columbia County,county,iso1:us#iso2:us-ny#fips:36021,59461,0.063,other,28.6,1.09,0.4,0.9,3,1,3,4,1,,3,4727,109,0.023059023,,,,100,85,10,,6,5,1,,8,,41946,38667,2021/9/27,https://covidactnow.org/us/new_york-ny/county/columbia_county,0.705,0.65,0,,3
36023,US,NY,Cortland County,county,iso1:us#iso2:us-ny#fips:36023,47581,0.075,other,37.5,0.95,0.32,0.54,3,1,3,4,1,,0,4908,71,0.014466178,,,,52,48,10,,12,6,3,,14,,26349,24739,2021/9/27,https://covidactnow.org/us/new_york-ny/county/cortland_county,0.554,0.52,0,,3
36025,US,NY,Delaware County,county,iso1:us#iso2:us-ny#fips:36025,44135,0.091,other,40.5,0.96,0.34,,3,1,3,4,1,,4,3142,42,0.013367282,,,,42,23,2,,,,,,9,,24085,22305,2021/9/27,https://covidactnow.org/us/new_york-ny/county/delaware_county,0.546,0.505,0,,3
36027,US,NY,Dutchess County,county,iso1:us#iso2:us-ny#fips:36027,294218,0.047,other,21.4,0.91,0.16,0.69,2,1,2,4,1,,0,34029,490,0.014399483,,,,480,373,24,,47,32,5,,69,,193740,176736,2021/9/27,https://covidactnow.org/us/new_york-ny/county/dutchess_county,0.658,0.601,3,,3
36029,US,NY,Erie County,county,iso1:us#iso2:us-ny#fips:36029,918702,0.048,other,25.2,1.06,0.1,0.7,3,1,3,4,1,,0,100094,1888,0.018862269,,,,2182,1878,118,,344,240,28,,205,,593162,551862,2021/9/27,https://covidactnow.org/us/new_york-ny/county/erie_county,0.646,0.601,1,,3
36031,US,NY,Essex County,county,iso1:us#iso2:us-ny#fips:36031,36885,0.029,other,27.5,0.98,0.55,,3,0,3,4,1,,4,2008,29,0.014442231,,,,19,13,1,,,,,,23,,24697,23393,2021/9/27,https://covidactnow.org/us/new_york-ny/county/essex_county,0.67,0.634,0,,3
36033,US,NY,Franklin County,county,iso1:us#iso2:us-ny#fips:36033,50022,0.071,other,64.5,1.06,0.28,0.34,3,1,3,4,1,,0,3670,16,0.004359673,,,,105,59,7,,13,4,1,,23,,29642,27805,2021/9/27,https://covidactnow.org/us/new_york-ny/county/franklin_county,0.593,0.556,0,,3
36035,US,NY,Fulton County,county,iso1:us#iso2:us-ny#fips:36035,53383,0.108,other,58.9,1.15,0.32,,3,2,3,4,2,,4,5452,98,0.017975055,,,,42,28,0,,8,5,1,,19,,26754,25115,2021/9/27,https://covidactnow.org/us/new_york-ny/county/fulton_county,0.501,0.47,0,,3
36037,US,NY,Genesee County,county,iso1:us#iso2:us-ny#fips:36037,57280,0.079,other,44.4,1.2,0.34,0.68,3,1,3,4,2,,0,6195,131,0.021146086,,,,82,49,6,,9,6,0,,19,,32118,29899,2021/9/27,https://covidactnow.org/us/new_york-ny/county/genesee_county,0.561,0.522,0,,3
